"","X","abv","ibu","id","name","style","brewery_id","ounces"
"141",515,0.056,55,38,"Caldera Pale Ale (2011)","American Pale Ale (APA)",155,12
"142",516,0.054,24,37,"Ashland Amber Ale","American Amber / Red Ale",155,12
"143",517,0.061,94,36,"Caldera IPA","American IPA",155,12
"144",525,0.09,130,2067,"Dead-Eye DIPA","American Double / Imperial IPA",230,16
"145",526,0.055,64,2066,"Fisherman's IPA","American IPA",230,12
"146",528,0.055,30,2064,"Fisherman's Brew","American Amber / Red Ale",230,12
"147",529,0.055,35,1928,"Cape Cod Red","American Amber / Red Ale",267,16
"148",530,0.049,10,1927,"Beach Blonde","American Blonde Ale",267,16
"149",534,0.056,55,1954,"Ghost Ship White IPA","American IPA",192,12
"150",536,0.062,70,1177,"Mutiny IPA","American IPA",192,12
"151",550,0.078,80,1940,"077XX","American Double / Imperial IPA",222,16
"152",551,0.042,35,1439,"Boat Beer","American IPA",222,12
"153",565,0.085,90,2600,"Gone A-Rye","American Double / Imperial IPA",29,16
"154",567,0.068,70,2052,"Dankosaurus","American IPA",29,16
"155",569,0.051,36,1182,"Elliott's Phoned Home Pale Ale","American Pale Ale (APA)",29,16
"156",576,0.052,42,1247,"Ray Ray’s Pale Ale","American Pale Ale (APA)",122,12
"157",578,0.072,85,1648,"Lucky Day IPA","American IPA",350,16
"158",579,0.095,99,1647,"Terrace Hill Double IPA","American Double / Imperial IPA",350,16
"159",584,0.07,65,1933,"Missile IPA","American IPA",236,12
"160",587,0.055,30,2017,"Pail Ale","American Pale Ale (APA)",250,16
"161",591,0.057,58,2380,"IPA #11","American IPA",121,16
"162",594,0.089,126,2440,"Bay of Bengal Double IPA (2014)","American Double / Imperial IPA",99,12
"163",599,0.062,65,2014,"Operation Homefront","American IPA",141,12
"164",605,0.07,60,1726,"Hopped on the High Seas (Hop #529)","American IPA",141,12
"165",606,0.07,60,1725,"Hopped on the High Seas (Calypso)","American IPA",141,12
"166",608,0.07,60,1694,"Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA",141,12
"167",609,0.07,60,1693,"Hopped on the High Seas (Citra)","American IPA",141,12
"168",610,0.07,60,1692,"Hopped on the High Seas (Ahtanum)","American IPA",141,12
"169",613,0.075,70,1142,"Humidor Series India Pale Ale","American IPA",141,12
"170",614,0.075,70,1141,"Jai Alai IPA Aged on White Oak","American IPA",141,12
"171",620,0.072,75,569,"Tocobaga Red Ale","American Amber / Red Ale",141,12
"172",621,0.075,70,546,"Jai Alai IPA","American IPA",141,12
"173",630,0.067,60,1772,"Jacaranada Rye IPA","American IPA",320,16
"174",632,0.044,13,893,"Wheat the People","American Pale Wheat Ale",418,16
"175",633,0.047,17,1407,"Tybee Island Blonde","American Blonde Ale",415,12
"176",636,0.065,75,2437,"Newport Storm IPA","American IPA",101,12
"177",637,0.052,24,751,"Hurricane Amber Ale (2004)","American Amber / Red Ale",101,12
"178",638,0.052,24,120,"Hurricane Amber Ale","American Amber / Red Ale",101,12
"179",640,0.068,75,970,"Des Moines IPA","American IPA",482,16
"180",642,0.056,21,968,"Farmer John's Multi-Grain Ale","American Blonde Ale",482,16
"181",652,0.06,46,2538,"Neomexicanus Native","American Pale Ale (APA)",63,12
"182",659,0.052,25,356,"Crazy Mountain Amber Ale","American Amber / Red Ale",63,12
"183",660,0.065,65,2029,"Tropicalia","American IPA",247,12
"184",662,0.049,25,2293,"Aviator Raspberry Blonde","American Blonde Ale",169,12
"185",672,0.06,31,1057,"South Ridge Amber Ale","American Amber / Red Ale",472,16
"186",681,0.05,15,1809,"The Tradition","American Blonde Ale",227,12
"187",684,0.092,115,851,"On the Wings of Armageddon","American Double / Imperial IPA",227,12
"188",685,0.065,80,186,"The Corruption","American IPA",227,12
"189",694,0.063,37,1746,"Dead Armadillo Amber Ale","American Amber / Red Ale",330,12
"190",697,0.085,100,2166,"Dream Crusher Double IPA","American Double / Imperial IPA",127,12
"191",702,0.052,23,946,"Dallas Blonde","American Blonde Ale",127,12
"192",703,0.07,70,943,"Deep Ellum IPA","American IPA",127,12
"193",704,0.045,44,1886,"Thrasher Session India Pale Ale","American IPA",283,12
"194",707,0.056,46,1159,"Mother Ale","American Blonde Ale",453,12
"195",708,0.065,71,947,"Twister Creek India Pale Ale","American IPA",453,12
"196",712,0.05,40,1210,"Mirror Pond Pale Ale","American Pale Ale (APA)",454,12
"197",715,0.063,76,2025,"Vertex IPA","American IPA",57,12
"198",718,0.096,85,1888,"Hoperation Overload","American Double / Imperial IPA",57,12
"199",720,0.044,45,2051,"Bravo Four Point","American Pale Ale (APA)",237,12
"200",721,0.052,26,1201,"Striped Bass Pale Ale","American Pale Ale (APA)",237,12
"201",722,0.054,27,924,"Deadicated Amber","American Amber / Red Ale",491,16
"202",724,0.071,85,730,"California Sunshine Rye IPA","American IPA",491,16
"203",727,0.065,72,1795,"Filthy Hoppin' IPA","American IPA",311,16
"204",737,0.066,100,881,"Hop Abomination","American IPA",496,12
"205",740,0.058,49,871,"Dry Dock Amber Ale","American Amber / Red Ale",496,12
"206",741,0.061,64,1685,"Category 3 IPA","American IPA",340,12
"207",742,0.045,18,457,"Dundee Summer Wheat Beer","American Pale Wheat Ale",538,12
"208",744,0.078,74,1382,"Crank Yanker IPA","American IPA",369,16
"209",749,0.078,74,395,"Crank Yanker IPA (2011)","American IPA",369,16
"210",758,0.043,60,2292,"Little Sister India Style Session Ale","American IPA",170,12
"211",759,0.062,80,1504,"Country Boy IPA","American IPA",170,12
"212",760,0.049,23,2604,"Blonde Czich","American Blonde Ale",26,16
"213",771,0.05,32,1722,"Iron Horse Pale Ale","American Pale Ale (APA)",335,12
"214",773,0.067,70,1434,"Wood Chipper India Pale Ale","American IPA",335,12
"215",774,0.063,55,2089,"Trail Head","American Pale Ale (APA)",224,12
"216",775,0.07,80,2088,"Hop Stalker Fresh Hop IPA","American IPA",224,16
"217",780,0.07,70,1451,"Moirai India Pale Ale","American IPA",405,16
"218",781,0.075,53,2191,"Loki Red Ale","American Amber / Red Ale",201,16
"219",784,0.075,53,895,"Loki Red Ale (2013)","American Amber / Red Ale",201,16
"220",789,0.082,80,1929,"Second Fiddle","American Double / Imperial IPA",172,16
"221",797,0.05,22,1662,"Wet Hot American Wheat Ale","American Pale Wheat Ale",256,16
"222",799,0.08,72,935,"Fascist Pig Ale","American Amber / Red Ale",256,16
"223",804,0.045,47,2569,"Easy Jack","American IPA",48,12
"224",805,0.075,75,2463,"Union Jack","American IPA",48,12
"225",808,0.047,20,1733,"805","American Blonde Ale",48,12
"226",810,0.05,27,2284,"Hinchtown Hammer Down","American Blonde Ale",16,16
"227",811,0.06,104,1610,"Half Cycle IPA","American IPA",16,16
"228",814,0.071,60,608,"Snake Dog IPA","American IPA",521,12
"229",817,0.07,70,2566,"Flying Mouse 4","American IPA",50,12
"230",823,0.069,65,2110,"1916 Shore Shiver","American IPA",217,12
"231",835,0.074,97,318,"Vortex IPA","American IPA",206,16
"232",837,0.047,19,2661,"Park","American Pale Wheat Ale",4,12
"233",838,0.056,16,2660,"Westfalia","American Amber / Red Ale",4,12
"234",840,0.063,42,2658,"Villager","American IPA",4,12
"235",842,0.072,65,1565,"Centennial IPA","American IPA",15,12
