"","abv","ibu","id","name","style","brewery_id","ounces","city","state","lon","lat","brewery"
"108",0.052,40,2167,"Evil Owl","American Amber / Red Ale",207,12,"San Antonio"," TX",-98.4936282,29.4241219,"Branchline Brewing Company"
"109",0.042,9,1522,"Agave Wheat","American Pale Wheat Ale",391,12,"Denver"," CO",-104.990251,39.7392358,"Breckenridge Brewery"
"110",0.045,15,397,"SummerBright Ale","American Pale Wheat Ale",391,12,"Denver"," CO",-104.990251,39.7392358,"Breckenridge Brewery"
"111",0.062,68,193,"Lucky U IPA","American IPA",391,12,"Denver"," CO",-104.990251,39.7392358,"Breckenridge Brewery"
"112",0.054,19,83,"Avalanche Ale","American Amber / Red Ale",391,12,"Denver"," CO",-104.990251,39.7392358,"Breckenridge Brewery"
"113",0.072,60,1801,"Last Stop IPA","American IPA",308,12,"Tampa"," FL",-82.4571776,27.950575,"Brew Bus Brewing"
"114",0.055,28,1799,"Are Wheat There Yet?","American Pale Wheat Ale",308,12,"Tampa"," FL",-82.4571776,27.950575,"Brew Bus Brewing"
"115",0.05,15,921,"Northern Lights Amber Ale","American Amber / Red Ale",493,12,"Anchorage"," AK",-149.9002778,61.2180556,"Broken Tooth Brewing Company"
"116",0.052,17,920,"Polar Pale Ale","American Pale Ale (APA)",493,12,"Anchorage"," AK",-149.9002778,61.2180556,"Broken Tooth Brewing Company"
"117",0.061,64,648,"Fairweather IPA","American IPA",493,12,"Anchorage"," AK",-149.9002778,61.2180556,"Broken Tooth Brewing Company"
"118",0.062,42,28,"Tule Duck Red Ale (Current)","American Amber / Red Ale",530,16,"Reno"," NV",-119.8138027,39.5296329,"Buckbean Brewing Company"
"119",0.06,40,2125,"1836","American Blonde Ale",214,12,"Houston"," TX",-95.3698028,29.7604267,"Buffalo Bayou Brewing Company"
"120",0.09,118,2123,"More Cowbell","American Double / Imperial IPA",214,16,"Houston"," TX",-95.3698028,29.7604267,"Buffalo Bayou Brewing Company"
"121",0.055,40,2478,"Pale Alement","American Pale Ale (APA)",24,12,"Michigan City"," IN",-86.8950297,41.7075394,"Burn 'Em Brewing"
"122",0.099,115,2471,"Hopkick Dropkick","American Double / Imperial IPA",24,12,"Michigan City"," IN",-86.8950297,41.7075394,"Burn 'Em Brewing"
"123",0.068,16,2160,"Joey Wheat","American Pale Wheat Ale",24,16,"Michigan City"," IN",-86.8950297,41.7075394,"Burn 'Em Brewing"
"124",0.072,86,2158,"3:33 Black IPA","American IPA",24,16,"Michigan City"," IN",-86.8950297,41.7075394,"Burn 'Em Brewing"
"125",0.055,40,2054,"Pale Alement","American Pale Ale (APA)",24,16,"Michigan City"," IN",-86.8950297,41.7075394,"Burn 'Em Brewing"
"126",0.056,36,668,"Mucho Aloha Hawaiian Pale Ale","American Pale Ale (APA)",517,12,"Carlsbad"," CA",-117.3505939,33.1580933,"Butcher's Brewing"
"127",0.053,25,2214,"Horny Toad Cerveza","American Blonde Ale",182,16,"Oklahoma City"," OK",-97.5164276,35.4675602,"COOP Ale Works"
"128",0.063,35,2213,"Native Amber","American Amber / Red Ale",182,16,"Oklahoma City"," OK",-97.5164276,35.4675602,"COOP Ale Works"
"129",0.068,100,1442,"F5 IPA","American IPA",182,16,"Oklahoma City"," OK",-97.5164276,35.4675602,"COOP Ale Works"
"130",0.063,35,170,"Native Amber (2013)","American Amber / Red Ale",182,16,"Oklahoma City"," OK",-97.5164276,35.4675602,"COOP Ale Works"
"131",0.053,25,169,"Horny Toad Cerveza (2013)","American Blonde Ale",182,16,"Oklahoma City"," OK",-97.5164276,35.4675602,"COOP Ale Works"
"132",0.068,100,2315,"Hopportunity Knocks IPA","American IPA",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"133",0.056,55,1419,"Caldera Pale Ale","American Pale Ale (APA)",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"134",0.054,24,794,"Ashland Amber Ale (2009)","American Amber / Red Ale",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"135",0.061,94,793,"Caldera IPA (2009)","American IPA",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"136",0.061,94,792,"Caldera IPA (2007)","American IPA",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"137",0.056,55,791,"Caldera Pale Ale (2010)","American Pale Ale (APA)",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"138",0.056,55,790,"Caldera Pale Ale (2009)","American Pale Ale (APA)",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"139",0.056,55,789,"Caldera Pale Ale (2005)","American Pale Ale (APA)",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
