"","abv","ibu","id","name","style","brewery_id","ounces","city","state","lon","lat","brewery"
"190",0.085,100,2166,"Dream Crusher Double IPA","American Double / Imperial IPA",127,12,"Dallas"," TX",-96.7969879,32.7766642,"Deep Ellum Brewing Company"
"191",0.052,23,946,"Dallas Blonde","American Blonde Ale",127,12,"Dallas"," TX",-96.7969879,32.7766642,"Deep Ellum Brewing Company"
"192",0.07,70,943,"Deep Ellum IPA","American IPA",127,12,"Dallas"," TX",-96.7969879,32.7766642,"Deep Ellum Brewing Company"
"193",0.045,44,1886,"Thrasher Session India Pale Ale","American IPA",283,12,"Hays"," KS",-99.3267702,38.8791783,"Defiance Brewing Company"
"194",0.056,46,1159,"Mother Ale","American Blonde Ale",453,12,"Talkeetna"," AK",-150.1066221,62.3209046,"Denali Brewing Company"
"195",0.065,71,947,"Twister Creek India Pale Ale","American IPA",453,12,"Talkeetna"," AK",-150.1066221,62.3209046,"Denali Brewing Company"
"196",0.05,40,1210,"Mirror Pond Pale Ale","American Pale Ale (APA)",454,12,"Bend"," OR",-121.3153096,44.0581728,"Deschutes Brewery"
"197",0.063,76,2025,"Vertex IPA","American IPA",57,12,"Bloomington"," IL",-86.5263857,39.165325,"Destihl Brewery"
"198",0.096,85,1888,"Hoperation Overload","American Double / Imperial IPA",57,12,"Bloomington"," IL",-86.5263857,39.165325,"Destihl Brewery"
"199",0.044,45,2051,"Bravo Four Point","American Pale Ale (APA)",237,12,"Lexington"," VA",-84.5037164,38.0405837,"Devil's Backbone Brewing Company"
"200",0.052,26,1201,"Striped Bass Pale Ale","American Pale Ale (APA)",237,12,"Lexington"," VA",-84.5037164,38.0405837,"Devil's Backbone Brewing Company"
"201",0.054,27,924,"Deadicated Amber","American Amber / Red Ale",491,16,"Belmont"," CA",-86.7940699,36.1328981,"Devil's Canyon Brewery"
"202",0.071,85,730,"California Sunshine Rye IPA","American IPA",491,16,"Belmont"," CA",-86.7940699,36.1328981,"Devil's Canyon Brewery"
"203",0.065,72,1795,"Filthy Hoppin' IPA","American IPA",311,16,"Woodinville"," WA",-122.1634582,47.7542651,"Dirty Bucket Brewing Company"
"204",0.066,100,881,"Hop Abomination","American IPA",496,12,"Aurora"," CO",-88.3200715,41.7605849,"Dry Dock Brewing Company"
"205",0.058,49,871,"Dry Dock Amber Ale","American Amber / Red Ale",496,12,"Aurora"," CO",-88.3200715,41.7605849,"Dry Dock Brewing Company"
"206",0.061,64,1685,"Category 3 IPA","American IPA",340,12,"Boynton Beach"," FL",-80.0905465,26.5317866,"Due South Brewing Company"
"207",0.045,18,457,"Dundee Summer Wheat Beer","American Pale Wheat Ale",538,12,"Rochester"," NY",-77.6109219,43.16103,"Dundee Brewing Company"
"208",0.078,74,1382,"Crank Yanker IPA","American IPA",369,16,"Buena Vista"," CO",-81.5386842,28.3936186,"Eddyline Brewery & Restaurant"
"209",0.078,74,395,"Crank Yanker IPA (2011)","American IPA",369,16,"Buena Vista"," CO",-81.5386842,28.3936186,"Eddyline Brewery & Restaurant"
"210",0.043,60,2292,"Little Sister India Style Session Ale","American IPA",170,12,"White Salmon"," WA",-121.4864619,45.7276194,"Everybody's Brewing"
"211",0.062,80,1504,"Country Boy IPA","American IPA",170,12,"White Salmon"," WA",-121.4864619,45.7276194,"Everybody's Brewing"
"212",0.049,23,2604,"Blonde Czich","American Blonde Ale",26,16,"Mishawaka"," IN",-86.1586156,41.6619927,"Evil Czech Brewery"
"213",0.05,32,1722,"Iron Horse Pale Ale","American Pale Ale (APA)",335,12,"Fargo"," ND",-96.7898034,46.8771863,"Fargo Brewing Company"
"214",0.067,70,1434,"Wood Chipper India Pale Ale","American IPA",335,12,"Fargo"," ND",-96.7898034,46.8771863,"Fargo Brewing Company"
"215",0.063,55,2089,"Trail Head","American Pale Ale (APA)",224,12,"Middleburg Heights"," OH",-81.812912,41.3614401,"Fat Head's Brewery"
"216",0.07,80,2088,"Hop Stalker Fresh Hop IPA","American IPA",224,16,"Middleburg Heights"," OH",-81.812912,41.3614401,"Fat Head's Brewery"
"217",0.07,70,1451,"Moirai India Pale Ale","American IPA",405,16,"Boulder"," CO",-105.2705456,40.0149856,"Fate Brewing Company"
"218",0.075,53,2191,"Loki Red Ale","American Amber / Red Ale",201,16,"Estacada"," OR",-122.3336963,45.2895655,"Fearless Brewing Company"
"219",0.075,53,895,"Loki Red Ale (2013)","American Amber / Red Ale",201,16,"Estacada"," OR",-122.3336963,45.2895655,"Fearless Brewing Company"
"220",0.082,80,1929,"Second Fiddle","American Double / Imperial IPA",172,16,"Shelburne"," VT",-73.227626,44.3806065,"Fiddlehead Brewing Company"
"221",0.05,22,1662,"Wet Hot American Wheat Ale","American Pale Wheat Ale",256,16,"Chicago"," IL",-87.6297982,41.8781136,"Finch's Beer Company"
"222",0.08,72,935,"Fascist Pig Ale","American Amber / Red Ale",256,16,"Chicago"," IL",-87.6297982,41.8781136,"Finch's Beer Company"
"223",0.045,47,2569,"Easy Jack","American IPA",48,12,"Paso Robles"," CA",-120.6545022,35.6368759,"Firestone Walker Brewing Company"
"224",0.075,75,2463,"Union Jack","American IPA",48,12,"Paso Robles"," CA",-120.6545022,35.6368759,"Firestone Walker Brewing Company"
"225",0.047,20,1733,"805","American Blonde Ale",48,12,"Paso Robles"," CA",-120.6545022,35.6368759,"Firestone Walker Brewing Company"
"226",0.05,27,2284,"Hinchtown Hammer Down","American Blonde Ale",16,16,"Indianapolis"," IN",-86.158068,39.768403,"Flat 12 Bierwerks"
"227",0.06,104,1610,"Half Cycle IPA","American IPA",16,16,"Indianapolis"," IN",-86.158068,39.768403,"Flat 12 Bierwerks"
"228",0.071,60,608,"Snake Dog IPA","American IPA",521,12,"Frederick"," MD",-77.4105409,39.4142688,"Flying Dog Brewery"
"229",0.07,70,2566,"Flying Mouse 4","American IPA",50,12,"Troutville"," VA",-79.8747627,37.4181897,"Flying Mouse Brewery"
"230",0.069,65,2110,"1916 Shore Shiver","American IPA",217,12,"Cherry Hill"," NJ",-75.0246312,39.926813,"Forgotten Boardwalk"
"231",0.074,97,318,"Vortex IPA","American IPA",206,16,"Astoria"," OR",-123.8312534,46.1878841,"Fort George Brewery"
"232",0.047,19,2661,"Park","American Pale Wheat Ale",4,12,"San Francisco"," CA",-122.4194155,37.7749295,"Fort Point Beer Company"
"233",0.056,16,2660,"Westfalia","American Amber / Red Ale",4,12,"San Francisco"," CA",-122.4194155,37.7749295,"Fort Point Beer Company"
"234",0.063,42,2658,"Villager","American IPA",4,12,"San Francisco"," CA",-122.4194155,37.7749295,"Fort Point Beer Company"
"235",0.072,65,1565,"Centennial IPA","American IPA",15,12,"Grand Rapids"," MI",-85.6680863,42.9633599,"Founders Brewing Company"
"236",0.047,42,1223,"All Day IPA","American IPA",15,12,"Grand Rapids"," MI",-85.6680863,42.9633599,"Founders Brewing Company"
"237",0.076,73,1874,"El Chingon IPA","American IPA",287,12,"Dallas"," TX",-96.7969879,32.7766642,"Four Corners Brewing Company"
"238",0.052,20,1872,"Local Buzz","American Blonde Ale",287,12,"Dallas"," TX",-96.7969879,32.7766642,"Four Corners Brewing Company"
"239",0.064,90,2610,"The Gadget","American IPA",22,16,"Valparaiso"," IN",-87.0611412,41.4730948,"Four Fathers Brewing "
"240",0.067,47,358,"Hop Knot IPA","American IPA",160,12,"Tempe"," AZ",-111.9400054,33.4255104,"Four Peaks Brewing Company"
"241",0.05,28,2427,"Suncaster Summer Wheat","American Pale Wheat Ale",105,12,"Columbus"," OH",-82.9987942,39.9611755,"Four String Brewing Company"
"242",0.057,36,2425,"Brass Knuckle Pale Ale","American Pale Ale (APA)",105,12,"Columbus"," OH",-82.9987942,39.9611755,"Four String Brewing Company"
"243",0.069,69,1556,"Batch 69 IPA","American IPA",253,12,"Frankenmuth"," MI",-83.7380194,43.331691,"Frankenmuth Brewery"
"244",0.059,70,2521,"Soul Doubt","American IPA",66,12,"San Antonio"," TX",-98.4936282,29.4241219,"Freetail Brewing Company"
"245",0.065,45,875,"Fremont Summer Ale","American Pale Ale (APA)",460,12,"Seattle"," WA",-122.3320708,47.6062095,"Fremont Brewing Company"
"246",0.056,30,858,"Universale Pale Ale","American Pale Ale (APA)",460,12,"Seattle"," WA",-122.3320708,47.6062095,"Fremont Brewing Company"
"247",0.065,80,857,"Interurban IPA","American IPA",460,12,"Seattle"," WA",-122.3320708,47.6062095,"Fremont Brewing Company"
"248",0.07,73,2254,"Salamander Slam","American IPA",180,16,"Waynesville"," NC",-82.9887477,35.4887145,"Frog Level Brewing Company"
"249",0.072,50,2077,"No Wake IPA","American IPA",228,12,"Lake Geneva"," WI",-88.4334301,42.5916836,"Geneva Lake Brewing Company"
"250",0.049,15,2076,"Boathouse Blonde","American Blonde Ale",228,12,"Lake Geneva"," WI",-88.4334301,42.5916836,"Geneva Lake Brewing Company"
"251",0.05,26,2075,"Cedar Point","American Amber / Red Ale",228,12,"Lake Geneva"," WI",-88.4334301,42.5916836,"Geneva Lake Brewing Company"
"252",0.067,70,2426,"Clean Shave IPA","American IPA",106,12,"Pineland"," ME",-93.9743556,31.2479659,"Glabrous Brewing Company"
"253",0.074,74,1777,"2020 IPA","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"254",0.08,70,1698,"Wolf Among Weeds IPA","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"255",0.094,92,1641,"Better Weather IPA","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"256",0.059,60,1490,"Point the Way IPA","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"257",0.068,65,1399,"Heal the Bay IPA","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"258",0.059,60,1296,"Point the Way IPA","American IPA",240,12,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"259",0.08,70,750,"Burning Bush Smoked IPA","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"260",0.08,70,749,"Wolf Among Weeds IPA (2012)","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"261",0.059,60,549,"Point the Way IPA (2012)","American IPA",240,16,"Los Angeles"," CA",-118.2436849,34.0522342,"Golden Road Brewing"
"262",0.07,70,1109,"Descender IPA","American IPA",464,12,"Bend"," OR",-121.3153096,44.0581728,"Good Life Brewing Company"
"263",0.06,18,1108,"Sweet As Pacific Ale","American Pale Wheat Ale",464,12,"Bend"," OR",-121.3153096,44.0581728,"Good Life Brewing Company"
"264",0.056,36,1000,"Good People Pale Ale","American Pale Ale (APA)",478,12,"Birmingham"," AL",-86.80249,33.5206608,"Good People Brewing Company"
"265",0.093,103,312,"Snake Handler Double IPA","American Double / Imperial IPA",478,12,"Birmingham"," AL",-86.80249,33.5206608,"Good People Brewing Company"
"266",0.06,64,309,"Good People IPA","American IPA",478,12,"Birmingham"," AL",-86.80249,33.5206608,"Good People Brewing Company"
"267",0.055,40,2205,"Mountain Rescue Pale Ale","American Pale Ale (APA)",194,12,"Bend"," OR",-121.3153096,44.0581728,"Goodlife Brewing Co."
"268",0.059,55,2198,"Goose Island India Pale Ale","American IPA",196,12,"Chicago"," IL",-87.6297982,41.8781136,"Goose Island Brewery Company"
"269",0.054,30,2457,"312 Urban Pale Ale","American Pale Ale (APA)",88,16,"Chicago"," IL",-87.6297982,41.8781136,"Goose Island Brewing Company"
"270",0.054,30,2202,"312 Urban Pale Ale","American Pale Ale (APA)",88,12,"Chicago"," IL",-87.6297982,41.8781136,"Goose Island Brewing Company"
"271",0.042,18,2201,"312 Urban Wheat Ale","American Pale Wheat Ale",88,16,"Chicago"," IL",-87.6297982,41.8781136,"Goose Island Brewing Company"
"272",0.042,18,1829,"312 Urban Wheat Ale","American Pale Wheat Ale",88,12,"Chicago"," IL",-87.6297982,41.8781136,"Goose Island Brewing Company"
"273",0.042,20,581,"312 Urban Wheat Ale (2012)","American Pale Wheat Ale",88,12,"Chicago"," IL",-87.6297982,41.8781136,"Goose Island Brewing Company"
"274",0.043,21,2129,"Monarch Classic American Wheat","American Pale Wheat Ale",213,12,"Farmers Branch"," TX",-96.8961151,32.9265137,"Grapevine Craft Brewery"
"275",0.055,35,2126,"Lakefire Rye Pale Ale","American Pale Ale (APA)",213,12,"Farmers Branch"," TX",-96.8961151,32.9265137,"Grapevine Craft Brewery"
"276",0.053,22,2303,"Beer Agent Re-Ignition","American Blonde Ale",165,16,"Aurora"," IN",-88.3200715,41.7605849,"Great Crescent Brewery"
"277",0.062,60,1701,"Great Crescent IPA","American IPA",165,16,"Aurora"," IN",-88.3200715,41.7605849,"Great Crescent Brewery"
"278",0.053,22,1699,"Great Crescent Blonde Ale","American Blonde Ale",165,16,"Aurora"," IN",-88.3200715,41.7605849,"Great Crescent Brewery"
"279",0.062,60,436,"Great Crescent IPA (2011)","American IPA",165,16,"Aurora"," IN",-88.3200715,41.7605849,"Great Crescent Brewery"
"280",0.053,22,389,"Great Crescent Blonde Ale (2011)","American Blonde Ale",165,16,"Aurora"," IN",-88.3200715,41.7605849,"Great Crescent Brewery"
"281",0.052,49,1923,"Commotion APA","American Pale Ale (APA)",269,12,"Shreveport"," LA",-93.7501789,32.5251516,"Great Raft Brewing Company"
"282",0.053,48,863,"483 Pale Ale","American Pale Ale (APA)",365,16,"Davenport"," IA",-90.5776367,41.5236437,"Great River Brewery"
"283",0.07,70,540,"Big Cock IPA","American IPA",365,16,"Davenport"," IA",-90.5776367,41.5236437,"Great River Brewery"
"284",0.048,25,517,"40th Annual Bix Street Fest Copper Ale (Current)","American Amber / Red Ale",365,16,"Davenport"," IA",-90.5776367,41.5236437,"Great River Brewery"
"285",0.053,48,190,"483 Pale Ale (2010)","American Pale Ale (APA)",365,16,"Davenport"," IA",-90.5776367,41.5236437,"Great River Brewery"
"286",0.05,30,1106,"Pablo Beach Pale Ale","American Pale Ale (APA)",466,12,"Jacksonville"," FL",-81.655651,30.3321838,"Green Room Brewing"
"287",0.057,44,2314,"Wild Trail Pale Ale","American Pale Ale (APA)",156,12,"Lewisburg"," WV",-76.8844101,40.9645293,"Greenbrier Valley Brewing Company"
"288",0.085,69,2044,"Captain's Daughter","American Double / Imperial IPA",86,12,"Westerly"," RI",-71.8272871,41.3775987,"Grey Sail Brewing Company"
"289",0.06,54,1505,"Flying Jenny Extra Pale Ale","American Pale Ale (APA)",379,12,"Westerly"," RI",-71.8272871,41.3775987,"Grey Sail Brewing of Rhode Island"
"290",0.06,54,693,"Flying Jenny Extra Pale Ale (2012)","American Pale Ale (APA)",379,12,"Westerly"," RI",-71.8272871,41.3775987,"Grey Sail Brewing of Rhode Island"
"291",0.045,6,2375,"Mr. Blue Sky","American Pale Wheat Ale",124,16,"Birmingham"," MI",-86.80249,33.5206608,"Griffin Claw Brewing Company"
"292",0.065,25,2140,"El Rojo","American Amber / Red Ale",124,16,"Birmingham"," MI",-86.80249,33.5206608,"Griffin Claw Brewing Company"
"293",0.05,35,2138,"Grind Line","American Pale Ale (APA)",124,16,"Birmingham"," MI",-86.80249,33.5206608,"Griffin Claw Brewing Company"
"294",0.04,55,2007,"Norm's Gateway IPA","American IPA",124,12,"Birmingham"," MI",-86.80249,33.5206608,"Griffin Claw Brewing Company"
"295",0.069,67,1857,"Supergoose IPA","American IPA",290,12,"Seattle"," WA",-122.3320708,47.6062095,"Hale's Ales"
"296",0.07,40,2026,"Pursuit","American IPA",248,12,"Stamford"," CT",-73.5387341,41.0534302,"Half Full Brewery"
"297",0.052,18,1361,"Half Full Bright Ale","American Blonde Ale",248,12,"Stamford"," CT",-73.5387341,41.0534302,"Half Full Brewery"
"298",0.075,70,1677,"The Great Return","American IPA",343,16,"Richmond"," VA",-77.4360481,37.5407246,"Hardywood Park Craft Brewery"
"299",0.056,55,1270,"Capital Trail Pale Ale","American Pale Ale (APA)",343,12,"Richmond"," VA",-77.4360481,37.5407246,"Hardywood Park Craft Brewery"
"300",0.059,42,1379,"Harpoon IPA","American IPA",234,12,"Boston"," MA",-71.0588801,42.3600825,"Harpoon Brewery"
"301",0.059,42,770,"Harpoon IPA (2012)","American IPA",234,12,"Boston"," MA",-71.0588801,42.3600825,"Harpoon Brewery"
"302",0.048,10,610,"UFO White","American Pale Wheat Ale",234,12,"Boston"," MA",-71.0588801,42.3600825,"Harpoon Brewery"
"303",0.059,42,126,"Harpoon IPA (2010)","American IPA",234,12,"Boston"," MA",-71.0588801,42.3600825,"Harpoon Brewery"
"304",0.088,77,1893,"Hill 88 Double IPA","American Double / Imperial IPA",280,16,"Mill Valley"," CA",-122.5449763,37.9060368,"Headlands Brewing Company"
"305",0.072,45,990,"Loose Cannon","American IPA",479,12,"Halethorpe"," MD",-76.6806441,39.2401735,"Heavy Seas Beer"
"306",0.08,86,1346,"Habitus IPA","American IPA",423,16,"San Diego"," CA",-117.1610838,32.715738,"Hess Brewing Company"
"307",0.07,68,2294,"The Power of Zeus","American Pale Ale (APA)",168,12,"Windsor"," CO",-0.613576,51.4817279,"High Hops Brewery"
"308",0.044,22,824,"Tonganoxie Honey Wheat","American Pale Wheat Ale",500,12,"Leavenworth"," KS",-120.6614765,47.5962326,"High Noon Saloon And Brewery"
"309",0.045,32,1615,"The 12th Can™","American Pale Ale (APA)",362,16,"Seattle"," WA",-122.3320708,47.6062095,"Hilliard's Beer"
"310",0.049,20,724,"Hilliard's Blonde","American Blonde Ale",362,16,"Seattle"," WA",-122.3320708,47.6062095,"Hilliard's Beer"
"311",0.055,60,497,"Hilliard's Amber Ale","American Amber / Red Ale",362,16,"Seattle"," WA",-122.3320708,47.6062095,"Hilliard's Beer"
"312",0.058,45,1833,"Hop Farm IPA","American IPA",297,12,"Pittsburgh"," PA",-79.9958864,40.4406248,"Hop Farm Brewing Company"
"313",0.049,20,2195,"Double D Blonde","American Blonde Ale",198,12,"Springfield"," OR",-89.6501481,39.7817213,"Hop Valley Brewing Company"
"314",0.063,70,1543,"Proxima IPA","American IPA",198,12,"Springfield"," OR",-89.6501481,39.7817213,"Hop Valley Brewing Company"
"315",0.049,20,1390,"Double D Blonde (2013)","American Blonde Ale",198,12,"Springfield"," OR",-89.6501481,39.7817213,"Hop Valley Brewing Company"
"316",0.065,90,1353,"Alphadelic IPA","American IPA",198,12,"Springfield"," OR",-89.6501481,39.7817213,"Hop Valley Brewing Company"
"317",0.065,90,499,"Alphadelic IPA (2011)","American IPA",198,12,"Springfield"," OR",-89.6501481,39.7817213,"Hop Valley Brewing Company"
"318",0.049,20,498,"Double D Blonde (2011)","American Blonde Ale",198,12,"Springfield"," OR",-89.6501481,39.7817213,"Hop Valley Brewing Company"
"319",0.06,50,501,"Pale Dog","American Pale Ale (APA)",395,12,"Austin"," TX",-97.7430608,30.267153,"Hops & Grain Brewery"
"320",0.039,20,2400,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"321",0.039,20,2399,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"322",0.039,20,2398,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"323",0.039,20,2397,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"324",0.039,20,2396,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"325",0.039,20,2395,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"326",0.039,20,2394,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"327",0.039,20,2393,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"328",0.039,20,2392,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"329",0.039,20,2391,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"330",0.039,20,2390,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"331",0.039,20,2389,"Nonstop Hef Hop","American Pale Wheat Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"332",0.058,60,2388,"Rise Up Red","American Amber / Red Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"333",0.066,75,2199,"Hopworks IPA","American IPA",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"334",0.058,60,1085,"Rise-Up Red (2014)","American Amber / Red Ale",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"335",0.066,75,653,"Hopworks IPA (2012)","American IPA",80,16,"Portland"," OR",-122.6764816,45.5230622,"Hopworks Urban Brewery"
"336",0.068,90,1903,"Let It Ride IPA","American IPA",277,12,"Minneapolis"," MN",-93.2650108,44.977753,"Indeed Brewing Company"
"337",0.046,27,1115,"Shenanigans Summer Ale","American Pale Wheat Ale",277,12,"Minneapolis"," MN",-93.2650108,44.977753,"Indeed Brewing Company"
"338",0.054,45,728,"Day Tripper Pale Ale","American Pale Ale (APA)",277,12,"Minneapolis"," MN",-93.2650108,44.977753,"Indeed Brewing Company"
"339",0.048,32,2350,"Oklahoma Suks","American Amber / Red Ale",140,12,"Austin"," TX",-97.7430608,30.267153,"Independence Brewing Company"
"340",0.055,42,2301,"Power & Light","American Pale Ale (APA)",140,12,"Austin"," TX",-97.7430608,30.267153,"Independence Brewing Company"
"341",0.058,58,2609,"Tribute","American Pale Ale (APA)",23,12,"Indianapolis"," IN",-86.158068,39.768403,"Indiana City Brewing"
"342",0.07,75,2038,"Infamous IPA","American IPA",242,12,"Austin"," TX",-97.7430608,30.267153,"Infamous Brewing Company"
"343",0.045,20,559,"Jon Boat Coastal Ale","American Blonde Ale",527,12,"Jacksonville"," FL",-81.655651,30.3321838,"Intuition Ale Works"
"344",0.068,55,558,"I-10 IPA","American IPA",527,12,"Jacksonville"," FL",-81.655651,30.3321838,"Intuition Ale Works"
"345",0.053,28,553,"People's Pale Ale","American Pale Ale (APA)",527,12,"Jacksonville"," FL",-81.655651,30.3321838,"Intuition Ale Works"
"346",0.055,37,1793,"Thunder Ann","American Pale Ale (APA)",312,12,"Nashville"," TN",-86.7816016,36.1626638,"Jackalope Brewing Company"
"347",0.05,50,469,"Fox Tail Gluten Free Ale","American Pale Ale (APA)",233,12,"Henderson"," NV",-114.9817213,36.0395247,"Joseph James Brewing Company"
"348",0.093,90,468,"Hop Box Imperial IPA","American Double / Imperial IPA",233,12,"Henderson"," NV",-114.9817213,36.0395247,"Joseph James Brewing Company"
"349",0.055,40,1557,"Weekend Warrior Pale Ale","American Pale Ale (APA)",125,12,"Houston"," TX",-95.3698028,29.7604267,"Karbach Brewing Company"
"350",0.095,85,666,"Rodeo Clown Double IPA","American Double / Imperial IPA",125,12,"Houston"," TX",-95.3698028,29.7604267,"Karbach Brewing Company"
"351",0.066,70,463,"Hopadillo India Pale Ale","American IPA",125,12,"Houston"," TX",-95.3698028,29.7604267,"Karbach Brewing Company"
"352",0.06,64,1572,"KelSo India Pale Ale","American IPA",342,12,"Brooklyn"," NY",-73.9441579,40.6781784,"KelSo Beer Company"
"353",0.05,15,1187,"Peninsula Brewers Reserve (PBR)","American Blonde Ale",458,12,"Soldotna"," AK",-151.0583332,60.4877778,"Kenai River Brewing Company"
"354",0.065,65,759,"Double Haul IPA (2009)","American IPA",510,16,"Missoula"," MT",-113.996586,46.8787176,"Kettle House Brewing Company"
"355",0.065,65,758,"Double Haul IPA (2006)","American IPA",510,16,"Missoula"," MT",-113.996586,46.8787176,"Kettle House Brewing Company"
"356",0.055,50,87,"Eddy Out Pale Ale","American Pale Ale (APA)",510,16,"Missoula"," MT",-113.996586,46.8787176,"Kettle House Brewing Company"
"357",0.065,65,86,"Double Haul IPA","American IPA",510,16,"Missoula"," MT",-113.996586,46.8787176,"Kettle House Brewing Company"
"358",0.06,70,1667,"King Street IPA","American IPA",102,12,"Anchorage"," AK",-149.9002778,61.2180556,"King Street Brewing Company"
"359",0.063,65,2460,"India Pale Ale","American IPA",87,16,"Kirkwood"," MO",-120.0722442,38.7023082,"Kirkwood Station Brewing Company"
"360",0.048,11,2459,"Blackberry Wheat","American Pale Wheat Ale",87,16,"Kirkwood"," MO",-120.0722442,38.7023082,"Kirkwood Station Brewing Company"
"361",0.072,100,664,"Elevated IPA","American IPA",332,16,"Albuquerque"," NM",-106.6055534,35.0853336,"La Cumbre Brewing Company"
"362",0.064,66,1396,"Laughing Dog IPA","American IPA",218,12,"Ponderay"," ID",-116.5338037,48.3054806,"Laughing Dog Brewing Company"
"363",0.064,95,1675,"Madra Allta","American IPA",345,12,"Erie"," PA",-80.085059,42.1292241,"Lavery Brewing Company"
"364",0.056,70,1249,"Duluchan India Pale Ale","American IPA",345,12,"Erie"," PA",-80.085059,42.1292241,"Lavery Brewing Company"
"365",0.057,42,1688,"American Hero","American Amber / Red Ale",298,12,"York"," PA",-76.727745,39.9625984,"Liquid Hero Brewery"
"366",0.065,75,1686,"Irregardless IPA","American IPA",298,12,"York"," PA",-76.727745,39.9625984,"Liquid Hero Brewery"
"367",0.057,40,2434,"Peach Pale Ale","American Pale Ale (APA)",104,12,"Lone Tree"," CO",-104.8970678,39.536482,"Lone Tree Brewing Company"
"368",0.057,47,2329,"Peacemaker Pale Ale","American Pale Ale (APA)",149,12,"Raleigh"," NC",-78.6381787,35.7795897,"Lonerider Brewing Company"
"369",0.046,30,1924,"Long Trail Ale","American Amber / Red Ale",268,12,"Bridgewater Corners"," VT",-72.6559307,43.5884026,"Long Trail Brewing Company"
"370",0.062,65,1309,"Face Plant IPA","American IPA",430,12,"Ashburn"," VA",-77.4874416,39.0437567,"Lost Rhino Brewing Company"
"371",0.051,32,961,"Mac's Scottish Style Amber Ale (2000)","American Amber / Red Ale",485,12,"Portland"," OR",-122.6764816,45.5230622,"MacTarnahans Brewing Company"
"372",0.043,18,2209,"Sol Drifter","American Blonde Ale",91,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Madtree Brewing Company"
"373",0.05,40,1815,"SPRYE","American Pale Ale (APA)",91,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Madtree Brewing Company"
"374",0.069,70,1126,"Psychopathy","American IPA",91,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Madtree Brewing Company"
"375",0.06,30,1124,"Happy Amber","American Amber / Red Ale",91,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Madtree Brewing Company"
"376",0.05,18,1484,"Summer Paradise","American Pale Wheat Ale",356,12,"Philadelphia"," PA",-75.1652215,39.9525839,"Manayunk Brewing Company"
"377",0.085,85,1334,"Dreamin' Double IPA","American Double / Imperial IPA",356,12,"Philadelphia"," PA",-75.1652215,39.9525839,"Manayunk Brewing Company"
"378",0.099,93,1674,"Chaotic Double IPA","American Double / Imperial IPA",346,12,"Santee"," CA",-116.9739167,32.8383828,"Manzanita Brewing Company"
"379",0.08,88,1673,"Manzanita IPA","American IPA",346,12,"Santee"," CA",-116.9739167,32.8383828,"Manzanita Brewing Company"
